Labware,Liquid,Volume ul,MM from top at top of meniscus
2ml Snapcap Eppendorf,H20,0,38.13
2ml Snapcap Eppendorf,H20,25,36.5
2ml Snapcap Eppendorf,H20,50,35.9
2ml Snapcap Eppendorf,H20,100,34.6
2ml Snapcap Eppendorf,H20,200,32.8
2ml Snapcap Eppendorf,H20,400,29.41
2ml Snapcap Eppendorf,H20,600,26
2ml Snapcap Eppendorf,H20,800,22.2
2ml Snapcap Eppendorf,H20,1000,20.05
2ml Snapcap Eppendorf,H20,1200,16.7
2ml Snapcap Eppendorf,H20,1400,13.95
2ml Snapcap Eppendorf,H20,1600,10.7
2ml Snapcap Eppendorf,H20,1800,7.55
2ml Snapcap Eppendorf,H20,2000,4.5
50ml Falcon,H20,0,113
50ml Falcon,H20,1000,103
50ml Falcon,H20,2000,101.5
50ml Falcon,H20,3000,98.5
50ml Falcon,H20,4000,96.5
50ml Falcon,H20,5000,94.5
50ml Falcon,H20,10000,84.5
50ml Falcon,H20,15000,74.5
50ml Falcon,H20,20000,
50ml Falcon,H20,25000,57.5
50ml Falcon,H20,30000,
50ml Falcon,H20,35000,40.5
50ml Falcon,H20,40000,
50ml Falcon,H20,45000,22
50ml Falcon,H20,50000,13
