"","run.order","std.order","Mg2+ (mM)","K+ (mM)"
"1",1,1,5,20
"1.1",2,2,5,20
"1.2",3,3,5,20
"1.3",4,4,5,20
"1.4",5,5,5,20
"2",6,6,14,20
"2.1",7,7,14,20
"2.2",8,8,14,20
"2.3",9,9,14,20
"2.4",10,10,14,20
"3",11,11,5,100
"3.1",12,12,5,100
"3.2",13,13,5,100
"3.3",14,14,5,100
"3.4",15,15,5,100
"4",16,16,14,100
"4.1",17,17,14,100
"4.2",18,18,14,100
"4.3",19,19,14,100
"4.4",20,20,14,100
"11",21,21,9.5,60
"21",22,22,9.5,60
"31",23,23,9.5,60
"41",24,24,9.5,60
"110",1,1,3.14,60
"25",2,2,15.86,60
"32",3,3,9.5,3.43
"42",4,4,9.5,116.57
"5",5,5,3.14,60
"6",6,6,15.86,60
"7",7,7,9.5,3.43
"8",8,8,9.5,116.57
"9",9,9,3.14,60
"10",10,10,15.86,60
"111",11,11,9.5,3.43
"12",12,12,9.5,116.57
"13",13,13,3.14,60
"14",14,14,15.86,60
"15",15,15,9.5,3.43
"16",16,16,9.5,116.57
"17",17,17,3.14,60
"18",18,18,15.86,60
"19",19,19,9.5,3.43
"20",20,20,9.5,116.57
"211",21,21,9.5,60
"22",22,22,9.5,60
"23",23,23,9.5,60
"24",24,24,9.5,60
